frequency f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12 f13 f14 f15 f16 f17 f18 f19 f20
1273.437500 nan nan nan nan nan nan nan 0.001714 0.002513 nan nan nan nan nan nan nan nan nan nan nan
1281.250000 nan nan nan nan nan nan nan 0.001561 0.002648 nan nan nan nan nan nan nan nan nan nan nan
1289.062500 nan nan nan nan nan nan nan 0.001409 0.002784 nan nan nan nan nan nan nan nan nan nan nan
1296.875000 nan nan nan nan nan nan nan 0.001256 0.002919 nan nan nan nan nan nan nan nan nan nan nan
1304.687500 nan nan nan nan nan nan nan 0.001104 0.003054 nan nan nan nan nan nan nan nan nan nan nan
1312.500000 nan nan nan nan nan nan nan 0.000952 0.003189 nan nan nan nan nan nan nan nan nan nan nan
1320.312500 nan nan nan nan nan nan nan 0.000799 0.003324 nan nan nan nan nan nan nan nan nan nan nan
1328.125000 nan nan nan nan nan nan nan 0.000647 0.003460 nan nan nan nan nan nan nan nan nan nan nan
1335.937500 nan nan nan nan nan nan nan 0.000494 0.003595 nan nan nan nan nan nan nan nan nan nan nan
1343.750000 nan nan nan nan nan nan nan 0.000342 0.003730 nan nan nan nan nan nan nan nan nan nan nan
1351.562500 nan nan nan nan nan nan nan 0.000189 0.003865 nan nan nan nan nan nan nan nan nan nan nan
1359.375000 nan nan nan nan nan nan nan 0.000037 0.004000 0.000000 nan nan nan nan nan nan nan nan nan nan
1367.187500 nan nan nan nan nan nan nan 0.000000 0.003942 0.000080 nan nan nan nan nan nan nan nan nan nan
1375.000000 nan nan nan nan nan nan nan nan 0.003822 0.000187 nan nan nan nan nan nan nan nan nan nan
1382.812500 nan nan nan nan nan nan nan nan 0.003703 0.000293 nan nan nan nan nan nan nan nan nan nan
1390.625000 nan nan nan nan nan nan nan nan 0.003583 0.000399 nan nan nan nan nan nan nan nan nan nan
1398.437500 nan nan nan nan nan nan nan nan 0.003463 0.000506 nan nan nan nan nan nan nan nan nan nan
1406.250000 nan nan nan nan nan nan nan nan 0.003343 0.000612 nan nan nan nan nan nan nan nan nan nan
1414.062500 nan nan nan nan nan nan nan nan 0.003223 0.000719 nan nan nan nan nan nan nan nan nan nan
1421.875000 nan nan nan nan nan nan nan nan 0.003103 0.000825 nan nan nan nan nan nan nan nan nan nan
1429.687500 nan nan nan nan nan nan nan nan 0.002983 0.000931 nan nan nan nan nan nan nan nan nan nan
1437.500000 nan nan nan nan nan nan nan nan 0.002863 0.001038 nan nan nan nan nan nan nan nan nan nan
1445.312500 nan nan nan nan nan nan nan nan 0.002743 0.001144 nan nan nan nan nan nan nan nan nan nan
1453.125000 nan nan nan nan nan nan nan nan 0.002624 0.001250 nan nan nan nan nan nan nan nan nan nan
1460.937500 nan nan nan nan nan nan nan nan 0.002504 0.001357 nan nan nan nan nan nan nan nan nan nan
1468.750000 nan nan nan nan nan nan nan nan 0.002384 0.001463 nan nan nan nan nan nan nan nan nan nan
1476.562500 nan nan nan nan nan nan nan nan 0.002264 0.001569 nan nan nan nan nan nan nan nan nan nan
1484.375000 nan nan nan nan nan nan nan nan 0.002144 0.001676 nan nan nan nan nan nan nan nan nan nan
1492.187500 nan nan nan nan nan nan nan nan 0.002024 0.001782 nan nan nan nan nan nan nan nan nan nan
1500.000000 nan nan nan nan nan nan nan nan 0.001904 0.001888 nan nan nan nan nan nan nan nan nan nan
1507.812500 nan nan nan nan nan nan nan nan 0.001784 0.001995 nan nan nan nan nan nan nan nan nan nan
1515.625000 nan nan nan nan nan nan nan nan 0.001664 0.002101 nan nan nan nan nan nan nan nan nan nan
1523.437500 nan nan nan nan nan nan nan nan 0.001544 0.002207 nan nan nan nan nan nan nan nan nan nan
1531.250000 nan nan nan nan nan nan nan nan 0.001425 0.002314 nan nan nan nan nan nan nan nan nan nan
1539.062500 nan nan nan nan nan nan nan nan 0.001305 0.002420 nan nan nan nan nan nan nan nan nan nan
1546.875000 nan nan nan nan nan nan nan nan 0.001185 0.002526 nan nan nan nan nan nan nan nan nan nan
1554.687500 nan nan nan nan nan nan nan nan 0.001065 0.002633 nan nan nan nan nan nan nan nan nan nan
1562.500000 nan nan nan nan nan nan nan nan 0.000945 0.002739 nan nan nan nan nan nan nan nan nan nan
1570.312500 nan nan nan nan nan nan nan nan 0.000825 0.002845 nan nan nan nan nan nan nan nan nan nan
1578.125000 nan nan nan nan nan nan nan nan 0.000705 0.002952 nan nan nan nan nan nan nan nan nan nan
1585.937500 nan nan nan nan nan nan nan nan 0.000585 0.003058 nan nan nan nan nan nan nan nan nan nan
1593.750000 nan nan nan nan nan nan nan nan 0.000465 0.003164 nan nan nan nan nan nan nan nan nan nan
1601.562500 nan nan nan nan nan nan nan nan 0.000346 0.003271 nan nan nan nan nan nan nan nan nan nan
1609.375000 nan nan nan nan nan nan nan nan 0.000226 0.003377 nan nan nan nan nan nan nan nan nan nan
1617.187500 nan nan nan nan nan nan nan nan 0.000106 0.003483 0.000000 nan nan nan nan nan nan nan nan nan
1625.000000 nan nan nan nan nan nan nan nan 0.000000 0.003566 0.000010 nan nan nan nan nan nan nan nan nan
1632.812500 nan nan nan nan nan nan nan nan nan 0.003472 0.000094 nan nan nan nan nan nan nan nan nan
1640.625000 nan nan nan nan nan nan nan nan nan 0.003377 0.000177 nan nan nan nan nan nan nan nan nan
1648.437500 nan nan nan nan nan nan nan nan nan 0.003283 0.000261 nan nan nan nan nan nan nan nan nan
1656.250000 nan nan nan nan nan nan nan nan nan 0.003189 0.000344 nan nan nan nan nan nan nan nan nan
1664.062500 nan nan nan nan nan nan nan nan nan 0.003094 0.000428 nan nan nan nan nan nan nan nan nan
1671.875000 nan nan nan nan nan nan nan nan nan 0.003000 0.000512 nan nan nan nan nan nan nan nan nan
1679.687500 nan nan nan nan nan nan nan nan nan 0.002906 0.000595 nan nan nan nan nan nan nan nan nan
1687.500000 nan nan nan nan nan nan nan nan nan 0.002811 0.000679 nan nan nan nan nan nan nan nan nan
1695.312500 nan nan nan nan nan nan nan nan nan 0.002717 0.000763 nan nan nan nan nan nan nan nan nan
1703.125000 nan nan nan nan nan nan nan nan nan 0.002623 0.000846 nan nan nan nan nan nan nan nan nan
1710.937500 nan nan nan nan nan nan nan nan nan 0.002529 0.000930 nan nan nan nan nan nan nan nan nan
1718.750000 nan nan nan nan nan nan nan nan nan 0.002434 0.001014 nan nan nan nan nan nan nan nan nan
1726.562500 nan nan nan nan nan nan nan nan nan 0.002340 0.001097 nan nan nan nan nan nan nan nan nan
1734.375000 nan nan nan nan nan nan nan nan nan 0.002246 0.001181 nan nan nan nan nan nan nan nan nan
1742.187500 nan nan nan nan nan nan nan nan nan 0.002151 0.001265 nan nan nan nan nan nan nan nan nan
1750.000000 nan nan nan nan nan nan nan nan nan 0.002057 0.001348 nan nan nan nan nan nan nan nan nan
1757.812500 nan nan nan nan nan nan nan nan nan 0.001963 0.001432 nan nan nan nan nan nan nan nan nan
1765.625000 nan nan nan nan nan nan nan nan nan 0.001868 0.001516 nan nan nan nan nan nan nan nan nan
1773.437500 nan nan nan nan nan nan nan nan nan 0.001774 0.001599 nan nan nan nan nan nan nan nan nan
1781.250000 nan nan nan nan nan nan nan nan nan 0.001680 0.001683 nan nan nan nan nan nan nan nan nan
1789.062500 nan nan nan nan nan nan nan nan nan 0.001585 0.001766 nan nan nan nan nan nan nan nan nan
1796.875000 nan nan nan nan nan nan nan nan nan 0.001491 0.001850 nan nan nan nan nan nan nan nan nan
1804.687500 nan nan nan nan nan nan nan nan nan 0.001397 0.001934 nan nan nan nan nan nan nan nan nan
1812.500000 nan nan nan nan nan nan nan nan nan 0.001302 0.002017 nan nan nan nan nan nan nan nan nan
1820.312500 nan nan nan nan nan nan nan nan nan 0.001208 0.002101 nan nan nan nan nan nan nan nan nan
1828.125000 nan nan nan nan nan nan nan nan nan 0.001114 0.002185 nan nan nan nan nan nan nan nan nan
1835.937500 nan nan nan nan nan nan nan nan nan 0.001020 0.002268 nan nan nan nan nan nan nan nan nan
1843.750000 nan nan nan nan nan nan nan nan nan 0.000925 0.002352 nan nan nan nan nan nan nan nan nan
1851.562500 nan nan nan nan nan nan nan nan nan 0.000831 0.002436 nan nan nan nan nan nan nan nan nan
1859.375000 nan nan nan nan nan nan nan nan nan 0.000737 0.002519 nan nan nan nan nan nan nan nan nan
1867.187500 nan nan nan nan nan nan nan nan nan 0.000642 0.002603 nan nan nan nan nan nan nan nan nan
1875.000000 nan nan nan nan nan nan nan nan nan 0.000548 0.002687 nan nan nan nan nan nan nan nan nan
1882.812500 nan nan nan nan nan nan nan nan nan 0.000454 0.002770 nan nan nan nan nan nan nan nan nan
1890.625000 nan nan nan nan nan nan nan nan nan 0.000359 0.002854 nan nan nan nan nan nan nan nan nan
1898.437500 nan nan nan nan nan nan nan nan nan 0.000265 0.002938 nan nan nan nan nan nan nan nan nan
1906.250000 nan nan nan nan nan nan nan nan nan 0.000171 0.003021 nan nan nan nan nan nan nan nan nan
1914.062500 nan nan nan nan nan nan nan nan nan 0.000076 0.003105 0.000000 nan nan nan nan nan nan nan nan
1921.875000 nan nan nan nan nan nan nan nan nan 0.000000 0.003158 0.000012 nan nan nan nan nan nan nan nan
1929.687500 nan nan nan nan nan nan nan nan nan nan 0.003084 0.000078 nan nan nan nan nan nan nan nan
1937.500000 nan nan nan nan nan nan nan nan nan nan 0.003010 0.000144 nan nan nan nan nan nan nan nan
1945.312500 nan nan nan nan nan nan nan nan nan nan 0.002936 0.000210 nan nan nan nan nan nan nan nan
1953.125000 nan nan nan nan nan nan nan nan nan nan 0.002862 0.000276 nan nan nan nan nan nan nan nan
1960.937500 nan nan nan nan nan nan nan nan nan nan 0.002788 0.000341 nan nan nan nan nan nan nan nan
1968.750000 nan nan nan nan nan nan nan nan nan nan 0.002713 0.000407 nan nan nan nan nan nan nan nan
1976.562500 nan nan nan nan nan nan nan nan nan nan 0.002639 0.000473 nan nan nan nan nan nan nan nan
1984.375000 nan nan nan nan nan nan nan nan nan nan 0.002565 0.000539 nan nan nan nan nan nan nan nan
